Function name	Segment	Start	Length	Locals	Arguments	R	F	L	M	O	S	B	T	=	X
															
$ADJUST$1125	.text	00A74429	0000007C	00000012		R	.	L	.	.	S	.	.	.	.
$LARGE_SMALL_INPUT$1123	.text	00A6EBE0	00000198	00000000		R	.	L	.	.	S	.	.	.	.
$LN110	.text	0047A009	000000D6	00000000	0000002D	R	.	.	.	.	.	.	.	.	.
$LN117_2	.text	00ABA190	00000005	00000000		R	.	.	.	.	.	.	.	.	.
$LN13_2	.text	0044CCF5	00000001	00000000		R	.	.	.	.	.	.	.	.	.
$LN18_1	.text	0044E0C1	00000081	00000000		R	.	.	.	.	.	.	T	.	.
$LN19_0	.text	0040E927	00000001	00000000		R	.	.	.	.	.	.	.	.	.
$LN278_0	.text	00A761A5	00000001	00000000		R	.	.	.	.	.	.	.	.	.
$LN280_0	.text	00A76176	00000003	00000000		R	.	.	.	.	.	.	.	.	.
$LN2_6	.text	004597E9	0000004A	00000018	00000054	R	.	.	.	.	.	.	.	.	.
$LN36_7	.text	005AE010	00000012	00000000	00000004	.	.	L	.	.	.	.	.	.	.
$LN478	.text	00A753FE	00000001	00000000		R	.	.	.	.	.	.	.	.	.
$LN52_7	.text	008759B8	0000004E	00000004		R	.	.	.	.	.	.	.	.	.
$LN5_84	.text	00772476	00000012	00000004		R	.	.	.	.	.	B	.	.	.
$LN69_4	.text	00AF0371	00000001	00000000		R	.	.	.	.	.	.	.	.	.
$LN7_5	.text	0046AA30	0000002C	00000000	00000004	R	.	.	.	.	.	.	.	.	.
$LN8_31	.text	0053520B	00000029	00000000		R	.	.	.	.	.	.	.	.	.
$LN9_74	.text	0082DA69	00000001	00000000		R	.	.	.	.	.	.	.	.	.
$NAN_INF$1127	.text	00A73756	00000009	00000000		R	.	L	.	.	S	.	.	.	.
$RETURN_INVALID$1128	.text	00B3C855	00000073	00000000	00000008	R	.	L	.	.	S	.	.	.	.
$RETURN_ONE$1124	.text	00A74518	00000026	00000000	00000008	R	.	L	.	.	S	.	.	.	.
$RETURN_X$1129	.text	00B3C8EF	00000034	00000000	00000008	R	.	L	.	.	S	.	.	.	.
$RET_ONE$1154	.text	00A758F5	0000001E	00000010		R	.	L	.	.	S	.	.	.	.
$_NaN$1133	.text	00B3C4D5	00000005	00000000		R	.	L	.	.	S	.	.	.	.
$err_mktime$27479	.text	00A715B7	0000001F	00000000		R	.	L	.	.	S	.	.	.	.
$special$1128	.text	00A6D874	0000004F	00000020		R	.	L	.	.	S	.	.	.	.
$weeknum$28115	.text	00A7767F	00000285	00000000		R	.	L	.	.	S	.	.	.	.
