Offset-Description                                     
0000 - 4 Bytes           21C5828 : 22                  
0004 - Pointer           21C582C : P->04000802         
0008 - zombie type maybe?21C5830 : 0                   
000C - alive or not maybe?21C5834 : 1                   
0010 - 4 Bytes           21C5838 : 0                   
0014 - 4 Bytes           21C583C : 0                   
0018 - x                 21C5840 : -211.737915         
001C - y                 21C5844 : 273.181427          
0020 - z                 21C5848 : -40.41033173        
0024 - 4 Bytes           21C584C : 0                   
0028 - 4 Bytes           21C5850 : 0                   
002C - 4 Bytes           21C5854 : 0                   
0030 - 4 Bytes           21C5858 : 1                   
0034 - 4 Bytes           21C585C : 0                   
0038 - 4 Bytes           21C5860 : 0                   
003C - 4 Bytes           21C5864 : 0                   
0040 - zombie pathfinding direction21C5868 : 229.4350433         
0044 - 4 Bytes           21C586C : 0                   
0048 - 4 Bytes           21C5870 : 0                   
004C - 4 Bytes           21C5874 : 0                   
0050 - 4 Bytes           21C5878 : 0                   
0054 - 4 Bytes           21C587C : 0                   
0058 - 4 Bytes           21C5880 : 2                   
005C - 4 Bytes           21C5884 : 2                   
0060 - 4 Bytes           21C5888 : 0                   
0064 - 4 Bytes           21C588C : 1                   
0068 - Pointer           21C5890 : P->01010000         
006C - 4 Bytes           21C5894 : 0                   
0070 - 4 Bytes           21C5898 : 0                   
0074 - 4 Bytes           21C589C : 0                   
0078 - Pointer           21C58A0 : P->01200003         
007C - 4 Bytes           21C58A4 : 10                  
0080 - 4 Bytes           21C58A8 : 0                   
0084 - 4 Bytes           21C58AC : 0                   
0088 - Pointer           21C58B0 : P->0050010F         
008C - 4 Bytes           21C58B4 : 0                   
0090 - Pointer           21C58B8 : P->00010012         
0094 - 4 Bytes           21C58BC : 0                   
0098 - 4 Bytes           21C58C0 : 0                   
009C - 4 Bytes           21C58C4 : 0                   
00A0 - 4 Bytes           21C58C8 : 0                   
00A4 - 4 Bytes           21C58CC : 0                   
00A8 - 4 Bytes           21C58D0 : 0                   
00AC - 4 Bytes           21C58D4 : 0                   
00B0 - 4 Bytes           21C58D8 : 0                   
00B4 - 4 Bytes           21C58DC : 0                   
00B8 - 4 Bytes           21C58E0 : 0                   
00BC - 4 Bytes           21C58E4 : 0                   
00C0 - 4 Bytes           21C58E8 : 0                   
00C4 - 4 Bytes           21C58EC : 0                   
00C8 - 4 Bytes           21C58F0 : 0                   
00CC - 4 Bytes           21C58F4 : 0                   
00D0 - 4 Bytes           21C58F8 : 0                   
00D4 - 4 Bytes           21C58FC : 0                   
00D8 - Pointer           21C5900 : P->03FE0010         
00DC - 4 Bytes           21C5904 : 132                 
00E0 - 4 Bytes           21C5908 : 0                   
00E4 - 4 Bytes           21C590C : 0                   
00E8 - 4 Bytes           21C5910 : 0                   
00EC - 4 Bytes           21C5914 : 0                   
00F0 - 4 Bytes           21C5918 : 0                   
00F4 - 4 Bytes           21C591C : 0                   
00F8 - Pointer           21C5920 : P->01020001         
00FC - 4 Bytes           21C5924 : 0                   
0100 - Float             21C5928 : -15                 
0104 - Float             21C592C : -15                 
0108 - 4 Bytes           21C5930 : 0                   
010C - Float             21C5934 : 15                  
0110 - Float             21C5938 : 15                  
0114 - Float             21C593C : 48                  
0118 - 4 Bytes (Hex)     21C5940 : 00008000            
011C - x                 21C5944 : -227.737915         
0120 - y                 21C5948 : 257.181427          
0124 - z                 21C594C : -41.41033173        
0128 - Float (Signed)    21C5950 : -195.737915         
012C - Float (Signed)    21C5954 : 289.181427          
0130 - Float (Signed)    21C5958 : 8.589668274         
0134 - Float (Signed)    21C595C : -211.737915         
0138 - Float (Signed)    21C5960 : 273.181427          
